,,,,14_Admissions_All persons11,14_Admissions_Male,14_Admissions_Female,14_Admissions_p_ht_All persons,14_Admissions_p_ht_Male,14_Admissions_p_ht_Female,13_Admissions_All persons11,13_Admissions_Male,13_Admissions_Female,13_Admissions_p_ht_All persons,13_Admissions_p_ht_Male,13_Admissions_p_ht_Female
E12000002,,B,North West,"1,877","1,349",528,26,38,15,"1,550","1,131",419,22,32,12
E06000008,,324,Blackburn with Darwen Borough Council (Unitary)                                                     ,49,40,9,32,52,11,52,43,9,33,54,12
E06000009,,325,Blackpool Borough Council (Unitary)                                                                 ,67,48,19,52,74,30,53,39,14,39,57,21
E08000001,,304,Bolton Metropolitan Borough Council                                                                 ,65,47,18,24,34,13,77,54,23,28,40,16
E08000002,,305,Bury Metropolitan Borough Council                                                                   ,51,36,15,27,39,16,55,43,12,29,47,13
E06000049,,326,Cheshire East Council                                                                               ,47,38,9,14,23,5,51,41,10,15,25,5
E06000050,,327,Cheshire West and Chester Council,40,30,10,13,20,7,30,18,12,9,11,7
E10000006,,102,Cumbria County Council                                                                              ,94,77,17,21,34,8,72,45,27,17,21,13
E06000006,,321,Halton Borough Council (Unitary)                                                                    ,38,27,11,32,46,18,21,*,*,17,*,*
E08000011,,315,Knowsley Metropolitan Borough Council                                                               ,55,42,13,40,65,18,56,40,16,39,61,20
E10000017,,323,Lancashire County Council                                                                           ,230,164,66,20,29,11,214,161,53,19,28,9
E08000012,,316,Liverpool City Council                                                                              ,278,198,80,58,85,31,245,183,62,53,80,27
E08000003,,306,Manchester City Council                                                                             ,143,103,40,25,34,15,76,55,21,13,18,8
E08000004,,307,Oldham Metropolitan Borough Council                                                                ,54,36,18,24,33,15,35,27,8,16,25,7
E08000005,,308,Rochdale Metropolitan Borough Council                                                               ,45,35,10,21,33,9,60,43,17,28,39,16
E08000006,,309,Salford City Council                                                                                ,102,79,23,39,59,18,88,67,21,32,49,15
E08000014,,317,Sefton Council                                                                                      ,62,42,20,24,34,15,41,28,13,17,23,10
E08000013,,318,St Helens Metropolitan Borough Council                                                              ,58,35,23,34,42,26,45,28,17,26,34,19
E08000007,,310,Stockport Metropolitan Borough Council                                                              ,78,53,25,28,39,18,45,36,9,17,27,7
E08000008,,311,Tameside Metropolitan Borough Council                                                               ,62,40,22,28,37,20,51,29,22,23,26,20
E08000009,,312,Trafford Metropolitan Borough Council                                                               ,33,24,9,14,21,8,23,15,8,10,13,7
E06000007,,322,Warrington Borough Council (Unitary)                                                                ,47,33,14,23,31,14,30,*,*,14,*,*
E08000010,,313,Wigan Metropolitan Borough Council                                                                  ,137,95,42,44,61,26,80,64,16,25,41,10
E08000015,,319,Wirral Metropolitan Borough Council                                                                 ,42,27,15,14,18,10,50,33,17,17,23,11
